"dict_id"	"dict_code"	"dict_name"	"dict_description"
"07bd347409f341ccb6f3acdfd522a09d"	"product_delivery"	"配送方式"	"配送方式"
"17c143e943a2415e8786b1cd11d7c068"	"focus_target"	"关注类型"	"被关注的类型"
"6b55c8b3032d4e508e8af82b6d079ce5"	"news_level"	"新闻级别"	"新闻级别"
"7e62594a9e524f00bcd33af2db1ae7f7"	"user_status"	"用户状态"	"用户状态"
"88f25bf7c2bc495db896bf5454222407"	"shop_level"	"店铺等级"	"店铺等级"
"8cf48bbef72f4991868331f01ee83a27"	"flow_paytype"	"支付方式"	"支付方式"
"a5033a0558c04cfe95982fda49488dc0"	"user_role"	"用户角色"	"用户角色"
"c1de347e21b4451ebf23f136497ecd9d"	"shop_status"	"店铺状态"	"店铺状态"
